,endpoint,duration,status,controller_time,request_time
0,load_large_file,1.1069669723510742,200,0.9469912052154541,0.951218
1,sleep,3.0577499866485596,200,3.0031721591949463,3.00481
2,log,1.9465489387512207,200,1.892698049545288,1.893997
3,throw_exception,0.06673312187194824,200,0.0,0.003872
4,add_numbers,1.4194531440734863,200,1.2899231910705566,1.291378
5,add_numbers_numpy,0.6035778522491455,200,0.5166535377502441,0.517893
6,load_large_file,0.9497289657592773,200,0.8984375,0.899692
7,sleep,3.1322181224823,200,3.00313663482666,3.004486
8,log,1.9306318759918213,200,1.8797175884246826,1.880823
9,throw_exception,0.08106112480163574,200,0.0,0.001924
10,add_numbers,1.4081358909606934,200,1.2859783172607422,1.28726
11,add_numbers_numpy,0.5708627700805664,200,0.5184431076049805,0.520062
12,load_large_file,1.053138256072998,200,0.906198263168335,0.907605
13,sleep,3.0519328117370605,200,3.003161907196045,3.004703
14,log,1.967621088027954,200,1.9132575988769531,1.914511
15,throw_exception,0.08524894714355469,200,0.0,0.001895
16,add_numbers,1.3474500179290771,200,1.2942066192626953,1.295329
17,add_numbers_numpy,0.6514148712158203,200,0.520416259765625,0.521745
18,load_large_file,0.9992821216583252,200,0.8983981609344482,0.899791
19,sleep,3.1661880016326904,200,3.0031583309173584,3.00442
20,log,2.0896799564361572,200,2.0413525104522705,2.042534
21,throw_exception,0.06859493255615234,200,0.0,0.001701
22,add_numbers,1.3673501014709473,200,1.2793796062469482,1.28043
23,add_numbers_numpy,0.6077361106872559,200,0.5191555023193359,0.520436
24,load_large_file,0.9416022300720215,200,0.8886497020721436,0.890103
25,sleep,3.135190963745117,200,3.0031306743621826,3.004701
26,log,2.120823860168457,200,2.044102907180786,2.045667
27,throw_exception,0.07491779327392578,200,0.0,0.001883
28,add_numbers,1.426846981048584,200,1.2873854637145996,1.288469
29,add_numbers_numpy,0.5901451110839844,200,0.5345988273620605,0.535833
30,load_large_file,1.0353174209594727,200,0.8911023139953613,0.89237
31,sleep,3.166206121444702,200,3.0031299591064453,3.004394
32,log,2.219165325164795,200,2.1584928035736084,2.159693
33,throw_exception,0.0876166820526123,200,0.0,0.001999
34,add_numbers,1.4264860153198242,200,1.28867506980896,1.29006
35,add_numbers_numpy,0.5867030620574951,200,0.5383622646331787,0.539729
36,load_large_file,0.9467320442199707,200,0.8982141017913818,0.89961
37,sleep,3.1529541015625,200,3.0031628608703613,3.004421
38,log,2.162199020385742,200,2.1009161472320557,2.102136
39,throw_exception,0.13061976432800293,200,0.0,0.002047
40,add_numbers,1.3600502014160156,200,1.2856335639953613,1.287
41,add_numbers_numpy,0.6907248497009277,200,0.535132646560669,0.536859
42,load_large_file,1.0191421508789062,200,0.8945732116699219,0.895965
43,sleep,3.165386915206909,200,3.003157138824463,3.004532
44,log,1.9491548538208008,200,1.8967437744140625,1.897987
45,throw_exception,0.07137370109558105,200,0.0,0.002026
46,add_numbers,1.3521919250488281,200,1.2849671840667725,1.286316
47,add_numbers_numpy,0.586899995803833,200,0.5345902442932129,0.535923
48,load_large_file,0.9610469341278076,200,0.9089803695678711,0.910359
49,sleep,3.0710108280181885,200,3.0031750202178955,3.004423
50,log,2.209613084793091,200,2.1497325897216797,2.150817
51,throw_exception,0.1359090805053711,200,0.0,0.001946
52,add_numbers,1.3571751117706299,200,1.2824149131774902,1.283519
53,add_numbers_numpy,0.5968470573425293,200,0.5318591594696045,0.53315
54,load_large_file,1.0031158924102783,200,0.9515030384063721,0.952827
55,sleep,3.05558705329895,200,3.003122091293335,3.004381
56,log,2.056854009628296,200,1.9968979358673096,1.997996
57,throw_exception,0.14037108421325684,200,0.0,0.002268
58,add_numbers,1.3387489318847656,200,1.28849196434021,1.289814
59,add_numbers_numpy,0.6152713298797607,200,0.5574789047241211,0.558918
60,load_large_file,0.9601988792419434,200,0.9044873714447021,0.905889
61,sleep,3.1223721504211426,200,3.0031471252441406,3.004563
62,log,2.0237491130828857,200,1.9654853343963623,1.966777
63,throw_exception,0.15442895889282227,200,0.0,0.002135
64,add_numbers,1.3647449016571045,200,1.2871067523956299,1.288667
65,add_numbers_numpy,0.5984179973602295,200,0.5507116317749023,0.552141
66,load_large_file,0.9575600624084473,200,0.9084229469299316,0.910005
67,sleep,3.056006908416748,200,3.0031533241271973,3.004639
68,log,2.1111607551574707,200,2.058291435241699,2.059575
69,throw_exception,0.06799697875976562,200,0.0,0.001965
70,add_numbers,1.4229669570922852,200,1.2845590114593506,1.286098
71,add_numbers_numpy,0.6008439064025879,200,0.5511276721954346,0.552688
72,load_large_file,1.0215020179748535,200,0.914024829864502,0.915569
73,sleep,3.0522849559783936,200,3.0031611919403076,3.004699
74,log,2.117799758911133,200,2.055208683013916,2.056382
75,throw_exception,0.06905698776245117,200,0.0,0.001797
76,add_numbers,1.3415093421936035,200,1.2844352722167969,1.285658
77,add_numbers_numpy,0.5671229362487793,200,0.5165982246398926,0.517935
78,load_large_file,0.9610559940338135,200,0.8967597484588623,0.898012
79,sleep,3.0653250217437744,200,3.0031545162200928,3.004433
80,log,2.09230375289917,200,2.0401382446289062,2.041338
81,throw_exception,0.06922078132629395,200,0.0,0.001731
82,add_numbers,1.369889736175537,200,1.2875454425811768,1.288656
83,add_numbers_numpy,0.6064491271972656,200,0.5122361183166504,0.513476
84,load_large_file,1.015984058380127,200,0.8818325996398926,0.883079
85,sleep,3.0522420406341553,200,3.003131628036499,3.004444
86,log,2.105362892150879,200,2.0560317039489746,2.057129
87,throw_exception,0.0808570384979248,200,0.0,0.002123
88,add_numbers,1.456352949142456,200,1.2979726791381836,1.299603
89,add_numbers_numpy,0.707740068435669,200,0.5523667335510254,0.553906
90,load_large_file,0.9606091976165771,200,0.9015679359436035,0.903141
91,sleep,3.0637829303741455,200,3.00313401222229,3.004575
92,log,2.069033145904541,200,2.0061397552490234,2.007402
93,throw_exception,0.06607508659362793,200,0.0,0.001823
94,add_numbers,1.447779893875122,200,1.2852411270141602,1.286461
95,add_numbers_numpy,0.7086489200592041,200,0.5551602840423584,0.556682
96,load_large_file,0.9407238960266113,200,0.8907041549682617,0.892068
97,sleep,3.1405398845672607,200,3.0031726360321045,3.004692
98,log,2.1647512912750244,200,2.1135640144348145,2.114875
99,throw_exception,0.057878971099853516,200,0.0,0.002126
100,add_numbers,1.389699935913086,200,1.2872576713562012,1.288661
101,add_numbers_numpy,0.6317808628082275,200,0.5550222396850586,0.556431
102,load_large_file,0.9623959064483643,200,0.9102299213409424,0.911708
103,sleep,3.1129510402679443,200,3.00315523147583,3.004699
104,log,2.3000690937042236,200,2.2061374187469482,2.207378
105,throw_exception,0.06809115409851074,200,0.0,0.002007
106,add_numbers,1.3700170516967773,200,1.2894372940063477,1.290943
107,add_numbers_numpy,0.8125250339508057,200,0.5547261238098145,0.556212
108,load_large_file,1.010584831237793,200,0.8983421325683594,0.899853
109,sleep,3.054760217666626,200,3.003127336502075,3.004623
110,log,2.3502559661865234,200,2.293229818344116,2.294404
111,throw_exception,0.10941910743713379,200,0.0,0.00216
112,add_numbers,1.3943538665771484,200,1.286940574645996,1.288338
113,add_numbers_numpy,0.6122238636016846,200,0.5355074405670166,0.536869
114,load_large_file,0.961151123046875,200,0.8907113075256348,0.89199
115,sleep,3.2127060890197754,200,3.003113269805908,3.00466
116,log,2.221626043319702,200,2.1691462993621826,2.170339
117,throw_exception,0.11183404922485352,200,0.0,0.002268
118,add_numbers,1.361093282699585,200,1.2947375774383545,1.295927
119,add_numbers_numpy,0.6521329879760742,200,0.5325980186462402,0.534291
