,endpoint,duration,status,response
0,load_large_file,1.6965482234954834,200,1.1196362972259521
1,sleep,3.7350499629974365,200,3.5731077194213867
2,log,0.3215370178222656,200,0.15030813217163086
3,throw_exception,0.12464189529418945,500,
4,add_numbers,1.8142881393432617,200,1.5298986434936523
5,add_numbers_numpy,0.9222509860992432,200,0.6225969791412354
6,load_large_file,1.5210111141204834,200,1.111602783203125
7,sleep,3.6940698623657227,200,3.575956106185913
8,log,0.2565491199493408,200,0.1354231834411621
9,throw_exception,0.13030719757080078,500,
10,add_numbers,1.720667839050293,200,1.5246126651763916
11,add_numbers_numpy,0.7261450290679932,200,0.6194736957550049
12,load_large_file,1.2151169776916504,200,1.0921716690063477
13,sleep,4.076675653457642,200,3.5767853260040283
14,log,0.3055109977722168,200,0.19553542137145996
15,throw_exception,0.2924027442932129,500,
16,add_numbers,1.7145159244537354,200,1.5384020805358887
17,add_numbers_numpy,0.825531005859375,200,0.644174337387085
18,load_large_file,1.4261162281036377,200,1.1191484928131104
