,endpoint,duration,status,controller_time,request_time
0,load_large_file,1.0079591274261475,200,0.930255651473999,0.939388
1,sleep,3.1152331829071045,200,3.0031039714813232,3.009691
2,log,2.2324180603027344,200,2.1627769470214844,2.16905
3,throw_exception,0.0746009349822998,200,0.0,0.008876
4,add_numbers,1.9261970520019531,200,1.8417551517486572,1.848704
5,add_numbers_numpy,0.6091549396514893,200,0.5379533767700195,0.5451
6,load_large_file,0.9735429286956787,200,0.9113688468933105,0.918609
7,sleep,3.1098830699920654,200,3.0031063556671143,3.0104
8,log,3.857316255569458,200,2.0703155994415283,2.077491
9,throw_exception,0.08581995964050293,200,0.0,0.007387
10,add_numbers,1.6833970546722412,200,1.599438190460205,1.607155
11,add_numbers_numpy,0.6973979473114014,200,0.5447180271148682,0.552011
12,load_large_file,1.0874929428100586,200,0.9144597053527832,0.92178
13,sleep,3.0678677558898926,200,3.003109931945801,3.010284
14,log,2.3337831497192383,200,2.2404727935791016,2.247397
15,throw_exception,0.16152596473693848,200,0.0,0.008087
16,add_numbers,1.6394069194793701,200,1.4515507221221924,1.458925
17,add_numbers_numpy,0.6520950794219971,200,0.5181403160095215,0.525076
18,load_large_file,1.0614488124847412,200,0.9475476741790771,0.954555
19,sleep,3.1027019023895264,200,3.0012335777282715,3.008377
20,log,2.7795228958129883,200,2.63746976852417,2.644222
21,throw_exception,0.065032958984375,200,0.0,0.007282
22,add_numbers,1.6187889575958252,200,1.5385160446166992,1.545604
23,add_numbers_numpy,0.6055698394775391,200,0.532947301864624,0.539843
24,load_large_file,1.1671509742736816,200,0.9949252605438232,1.001926
25,sleep,3.0734119415283203,200,3.003112554550171,3.012691
26,log,4.239282131195068,200,4.035425662994385,4.042373
27,throw_exception,0.27881503105163574,200,0.0,0.019617
28,add_numbers,3.0136489868164062,200,2.8451075553894043,2.915428
29,add_numbers_numpy,0.7357592582702637,200,0.6684536933898926,0.675266
30,load_large_file,1.304337739944458,200,1.2418298721313477,1.249066
31,sleep,3.085639238357544,200,3.0027084350585938,3.010274
32,log,3.4115140438079834,200,3.299222230911255,3.305946
33,throw_exception,0.09672713279724121,200,0.0,0.008244
34,add_numbers,1.672966718673706,200,1.5896973609924316,1.597216
35,add_numbers_numpy,0.613635778427124,200,0.5471940040588379,0.554642
36,load_large_file,1.0138859748840332,200,0.9447131156921387,0.951876
37,sleep,3.071918249130249,200,3.0031137466430664,3.010392
38,log,2.215999126434326,200,2.004210948944092,2.011548
39,throw_exception,0.06725215911865234,200,0.0,0.007975
40,add_numbers,2.8034310340881348,200,2.642265558242798,2.740595
41,add_numbers_numpy,1.5332119464874268,200,1.410311222076416,1.418262
42,load_large_file,2.1687099933624268,200,2.0768210887908936,2.086479
43,sleep,3.130652904510498,200,3.003105640411377,3.010084
44,log,2.6461379528045654,200,2.5366671085357666,2.544182
45,throw_exception,0.08533620834350586,200,0.0,0.007513
46,add_numbers,1.493453025817871,200,1.423351764678955,1.430505
47,add_numbers_numpy,0.6588737964630127,200,0.5650835037231445,0.576799
48,load_large_file,1.8493356704711914,200,1.7773973941802979,1.786932
49,sleep,3.0803630352020264,200,3.0031051635742188,3.011072
50,log,4.082772970199585,200,3.956805467605591,3.964878
51,throw_exception,0.08208894729614258,200,0.0,0.009456
52,add_numbers,2.11370587348938,200,2.0345256328582764,2.041938
53,add_numbers_numpy,0.6360039710998535,200,0.5645129680633545,0.572348
54,load_large_file,1.0412490367889404,200,0.9665446281433105,0.974721
55,sleep,3.0925841331481934,200,3.0004756450653076,3.008153
56,log,2.539592981338501,200,2.1749303340911865,2.181372
57,throw_exception,0.1887359619140625,200,0.0,0.008667
58,add_numbers,1.4875109195709229,200,1.3593034744262695,1.366963
59,add_numbers_numpy,0.6027920246124268,200,0.5290257930755615,0.536147
60,load_large_file,0.9814159870147705,200,0.8980734348297119,0.905487
61,sleep,3.156525135040283,200,3.0031027793884277,3.011025
62,log,2.311365842819214,200,2.1803042888641357,2.187608
63,throw_exception,0.1015009880065918,200,0.0,0.007917
64,add_numbers,1.5089101791381836,200,1.3572137355804443,1.364425
65,add_numbers_numpy,0.5794990062713623,200,0.4745500087738037,0.4821
66,load_large_file,0.9930169582366943,200,0.8965644836425781,0.903634
67,sleep,3.09298038482666,200,3.0030980110168457,3.010497
68,log,2.8616578578948975,200,2.6514406204223633,2.658714
69,throw_exception,0.08902978897094727,200,0.0,0.008274
70,add_numbers,3.205171823501587,200,3.099369764328003,3.108534
71,add_numbers_numpy,1.1967389583587646,200,1.0829613208770752,1.089707
72,load_large_file,2.0523929595947266,200,1.9351825714111328,1.941984
73,sleep,3.1565489768981934,200,3.0031018257141113,3.012248
74,log,5.0621020793914795,200,4.951655864715576,4.961193
75,throw_exception,0.0974431037902832,200,0.0,0.011765
76,add_numbers,2.6232340335845947,200,2.5051615238189697,2.513372
77,add_numbers_numpy,0.9948999881744385,200,0.9084713459014893,0.915694
78,load_large_file,1.5614731311798096,200,1.4896128177642822,1.496945
79,sleep,3.0957019329071045,200,3.003105401992798,3.01118
80,log,4.088357925415039,200,3.9664816856384277,3.973465
81,throw_exception,0.18413805961608887,200,0.0,0.069045
82,add_numbers,2.820189952850342,200,2.7498226165771484,2.757418
83,add_numbers_numpy,1.449388027191162,200,1.3702054023742676,1.379653
84,load_large_file,1.9335529804229736,200,1.788524866104126,1.795648
85,sleep,3.0836899280548096,200,3.003100633621216,3.010251
86,log,4.653002977371216,200,4.53736424446106,4.544459
87,throw_exception,0.12335991859436035,200,0.0,0.010683
88,add_numbers,2.7080888748168945,200,2.5303127765655518,2.537798
