,endpoint,duration,status,controller_time,request_time
0,load_large_file,2.1476240158081055,200,1.928699016571045,2.067203
1,sleep,5.889761209487915,200,5.816840887069702,5.840345
2,throw_exception,0.1403820514678955,200,0.0,0.070865
3,add_numbers,2.6229188442230225,200,2.496445894241333,2.540036
4,log,4.135836839675903,200,4.029074668884277,4.077599
5,add_numbers_numpy,1.1588420867919922,200,1.05733323097229,1.075616
6,load_large_file,2.1425418853759766,200,1.964738368988037,2.029989
7,sleep,5.953312158584595,200,5.880031585693359,5.90392
8,throw_exception,0.11888599395751953,200,0.0,0.057817
9,add_numbers,2.688793897628784,200,2.615023612976074,2.638402
10,log,4.692149877548218,200,4.589976787567139,4.636204
11,add_numbers_numpy,1.2518229484558105,200,1.1660287380218506,1.186453
12,load_large_file,2.1298701763153076,200,1.9750523567199707,1.995404
13,sleep,7.241962909698486,200,5.786067008972168,5.821701
14,throw_exception,0.09081602096557617,200,0.0,0.035989
15,add_numbers,3.492859125137329,200,2.4785683155059814,2.498959
16,log,4.095818996429443,200,3.897678852081299,4.041089
17,add_numbers_numpy,1.4730768203735352,200,1.0496926307678223,1.085251
18,load_large_file,2.407696008682251,200,1.9093103408813477,1.929479
19,sleep,6.211673021316528,200,5.812236070632935,5.842407
20,throw_exception,0.0754702091217041,200,0.0,0.02135
21,add_numbers,2.6661508083343506,200,2.476155996322632,2.574554
22,log,4.054059028625488,200,3.9651501178741455,4.000303
23,add_numbers_numpy,1.190608263015747,200,1.111924409866333,1.132176
24,load_large_file,2.189987897872925,200,1.9162311553955078,1.937679
25,sleep,5.9317686557769775,200,5.752179861068726,5.781329
26,throw_exception,0.1278998851776123,200,0.0,0.060032
27,add_numbers,2.6243021488189697,200,2.4830546379089355,2.507026
28,log,4.009968996047974,200,3.807096004486084,3.955896
29,add_numbers_numpy,1.1636390686035156,200,1.07893705368042,1.09869
30,load_large_file,2.032855272293091,200,1.9150314331054688,1.980603
31,sleep,5.8539042472839355,200,5.745738506317139,5.773147
32,throw_exception,0.07363700866699219,200,0.0,0.020692
33,add_numbers,2.583383083343506,200,2.4990367889404297,2.521365
34,log,4.071991205215454,200,3.9861395359039307,4.017647
35,add_numbers_numpy,1.2078368663787842,200,1.0244746208190918,1.054074
36,load_large_file,2.040602207183838,200,1.8898155689239502,1.911518
37,sleep,5.930119037628174,200,5.7968080043792725,5.82309
38,throw_exception,0.08018898963928223,200,0.0,0.024666
39,add_numbers,2.598018169403076,200,2.5132360458374023,2.537363
40,log,4.334463834762573,200,4.251143217086792,4.283385
41,add_numbers_numpy,1.1341850757598877,200,1.0247998237609863,1.045449
42,load_large_file,2.0416810512542725,200,1.9246788024902344,1.945411
43,sleep,5.890119791030884,200,5.816100120544434,5.84021
44,throw_exception,0.14173316955566406,200,0.0,0.021309
45,add_numbers,2.572260856628418,200,2.498117446899414,2.521147
46,log,7.670927047729492,200,7.555591344833374,7.611959
47,add_numbers_numpy,1.1407318115234375,200,1.0415167808532715,1.072867
48,load_large_file,1.9733812808990479,200,1.9006071090698242,1.921828
49,sleep,5.928997993469238,200,5.804814577102661,5.831791
50,throw_exception,0.09384012222290039,200,0.0,0.041292
51,add_numbers,2.7102458477020264,200,2.4907853603363037,2.647269
52,log,6.2991650104522705,200,6.206906080245972,6.251873
53,add_numbers_numpy,1.2101459503173828,200,1.140439510345459,1.161033
54,load_large_file,2.0258889198303223,200,1.9038522243499756,1.928937
55,sleep,6.2373881340026855,200,5.852928161621094,6.158025
56,throw_exception,0.07273316383361816,200,0.0,0.022823
